time,age,gender,faculty,tiktok_hours,platforms,frequency,anxiety,high_self_esteem,jealousy,anxiety_after,comparison,negative_mood,unrealistic,unhealthy,pressure,self_esteem_awareness,confidence,positive_mood
2023/09/28 12:52:56 PM GMT+8,20,Female,Business,1.5,Instagram;Tiktok/ Douyin;YouTube,3,3,4,3,2,2,2,4,3,4,2,2,3
2023/09/28 1:04:30 PM GMT+8,20,Female,CHS,3,Instagram;Tiktok/ Douyin;YouTube,5,4,3,7,7,7,5,5,4,5,5,2,4
2023/09/28 1:04:58 PM GMT+8,20,Female,Business,2,Instagram;Tiktok/ Douyin;YouTube,3,3,4,5,5,5,5,5,5,5,3,3,3
2023/09/28 1:08:55 PM GMT+8,22,Female,Business,0,Instagram;Tumblr;YouTube,1,2,2,2,1,3,1,4,5,3,1,1,3
2023/09/28 1:45:00 PM GMT+8,19,Female,Business,1.5,Instagram;Tiktok/ Douyin;YouTube,2,3,3,6,5,6,5,4,4,2,4,2,2
2023/09/28 2:36:10 PM GMT+8,21,Female,CHS,1,Instagram;YouTube;Xiao Hong Shu,1,2,4,1,1,1,1,4,4,1,3,2,2
2023/09/28 2:47:33 PM GMT+8,30,Female,CHS,2.5,Instagram;Tiktok/ Douyin;YouTube,5,1,5,1,1,1,1,1,1,1,1,1,1
2023/09/28 3:52:44 PM GMT+8,21,Female,CDE,4,Instagram;Tiktok/ Douyin;YouTube,4,3,2,3,3,3,2,4,4,3,3,3,3
2023/09/28 5:57:59 PM GMT+8,23,Male,CHS,1,Instagram;Tiktok/ Douyin,2,2,4,5,5,5,5,3,4,3,3,2,3
2023/09/28 6:19:23 PM GMT+8,19,Female,CHS,1,Instagram;Tiktok/ Douyin,5,4,3,4,6,6,2,5,5,4,3,2,2
2023/09/28 8:24:22 PM GMT+8,19,Female,Business,5,Instagram;Tiktok/ Douyin;Tumblr;YouTube,3,2,1,6,4,5,5,4,2,3,3,2,2
2023/09/29 1:30:09 AM GMT+8,19,Female,Business,2,Instagram;Tiktok/ Douyin;YouTube,5,3,4,2,4,3,3,4,4,4,4,3,4
2023/10/01 12:40:15 PM GMT+8,21,Female,CHS,1,Instagram;Tiktok/ Douyin;YouTube,4,2,4,6,6,5,7,4,3,2,3,3,2
2023/10/01 4:27:21 PM GMT+8,22,Male,CHS,1,Instagram;Tiktok/ Douyin;YouTube,1,4,3,1,2,2,2,5,5,4,4,2,2
2023/10/01 7:41:29 PM GMT+8,20,Female,Business,1,Instagram;Tiktok/ Douyin;YouTube;twitter,5,4,1,4,4,4,2,3,2,4,3,3,3
2023/10/09 10:38:58 AM GMT+8,21,Female,CHS,2,Instagram;Tiktok/ Douyin;YouTube,4,4,2,5,6,7,3,2,2,4,3,3,2
2023/10/09 10:40:26 AM GMT+8,22,Female,Law,1,Tiktok/ Douyin;YouTube,3,2,4,3,5,5,1,4,2,4,2,2,3
2023/10/09 10:41:48 AM GMT+8,19,Female,CHS,2,Tiktok/ Douyin;YouTube,3,3,4,4,5,6,3,4,2,5,2,3,3
2023/10/09 10:55:26 AM GMT+8,21,Female,CHS,0.5,Instagram;Tiktok/ Douyin,2,2,3,2,2,2,2,4,4,1,2,3,3
2023/10/09 11:03:51 AM GMT+8,20,Female,Business,1,Instagram;Tiktok/ Douyin,5,4,3,3,5,5,5,3,3,4,3,4,4
2023/10/09 11:27:05 AM GMT+8,23,Female,CHS,3,Tiktok/ Douyin,4,3,2,2,3,6,2,4,3,4,2,4,4
2023/10/09 11:32:49 AM GMT+8,21,Female,CHS,3,Instagram;Tiktok/ Douyin;YouTube,5,4,4,4,5,6,4,4,2,4,3,3,4
2023/10/09 11:34:22 AM GMT+8,21,Female,CHS,1,Instagram;Tiktok/ Douyin;Tumblr;YouTube,2,2,5,2,2,3,2,2,2,1,2,3,3
2023/10/09 11:45:10 AM GMT+8,20,Female,CDE,1,Instagram;Tiktok/ Douyin,3,2,2,6,2,5,5,5,3,4,2,2,2
2023/10/09 12:05:23 PM GMT+8,21,Female,Business,2,Instagram;Tiktok/ Douyin,3,4,2,4,2,3,5,4,2,4,3,2,3
2023/10/09 12:11:12 PM GMT+8,19,Female,CHS,2,Instagram;Tiktok/ Douyin,4,4,1,4,5,6,4,2,2,5,3,2,2
2023/10/09 4:24:09 PM GMT+8,21,Female,CHS,4,Instagram;Tiktok/ Douyin;YouTube,4,3,4,5,3,6,2,2,3,4,2,3,2
2023/10/09 4:26:14 PM GMT+8,20,Female,Business,0,Instagram;YouTube,2,3,3,5,5,4,4,4,4,3,3,3,3
2023/10/09 4:32:39 PM GMT+8,20,Female,SOC,0.5,Instagram;Tiktok/ Douyin;YouTube,3,2,2,4,4,3,4,4,4,3,4,2,2
2023/10/09 4:38:20 PM GMT+8,20,Female,CDE,2.7,Instagram;Tiktok/ Douyin;YouTube,2,5,5,7,7,7,7,1,4,5,5,5,5
2023/10/09 4:50:10 PM GMT+8,20,Female,CHS,0,Instagram;YouTube,1,2,4,1,1,1,1,5,4,1,1,3,2
2023/10/09 9:05:07 PM GMT+8,20,Female,Business,1,Instagram;Tiktok/ Douyin;YouTube,2,4,2,2,1,2,3,4,4,2,3,4,3
2023/10/09 9:17:07 PM GMT+8,20,Female,Business,0.5,Instagram;YouTube,2,4,2,5,4,5,3,4,4,2,3,2,1
2023/10/09 11:58:52 PM GMT+8,20,Female,CHS,0.1,Instagram;YouTube,2,2,3,2,2,3,2,4,3,3,2,2,3
2023/10/10 7:47:34 AM GMT+8,20,Female,CHS,0.5,Instagram;Tiktok/ Douyin,2,4,3,5,5,6,2,4,2,2,3,2,3
2023/10/16 4:31:19 PM GMT+8,18,Female,CHS,5,Instagram;Tiktok/ Douyin;YouTube,4,4,4,4,5,3,5,4,4,4,4,4,4
2023/10/16 4:33:12 PM GMT+8,21,Female,CHS,4,Instagram;Tiktok/ Douyin;YouTube,4,2,3,6,5,5,4,5,2,5,3,2,3
2023/10/16 4:36:43 PM GMT+8,20,Female,CHS,4,Instagram;Tiktok/ Douyin,2,3,3,1,1,1,1,3,3,2,2,4,4
2023/10/16 11:12:19 PM GMT+8,22,Male,Business ,0,Instagram;YouTube,3,1,5,1,1,1,1,4,4,3,1,3,3
2023/10/17 9:06:50 AM GMT+8,19,Female,CHS,4,Instagram;Tiktok/ Douyin;YouTube,3,4,3,5,5,5,5,4,4,4,4,4,4
2023/10/17 12:48:31 PM GMT+8,19,Female,Business,3,Instagram;Tiktok/ Douyin,2,1,3,4,3,2,2,4,3,1,1,3,1
2023/10/18 12:09:54 AM GMT+8,20,Female,CDE ,0,Instagram;YouTube,1,4,2,1,1,1,1,5,5,4,5,4,4
2023/10/18 2:54:37 AM GMT+8,20,Female,CHS,2,Instagram;YouTube,1,2,3,1,1,1,1,4,4,3,3,2,3
2023/10/23 4:36:18 PM GMT+8,22,Female,Business,1,Instagram;Tiktok/ Douyin;Tumblr;YouTube,4,3,4,5,4,5,3,4,3,4,3,3,3
2023/10/23 4:48:16 PM GMT+8,21,Female,SOC,2,Instagram;Tiktok/ Douyin;YouTube,3,4,3,4,4,5,4,3,4,2,2,2,2
2023/10/23 7:53:22 PM GMT+8,19,Female,Business,0.5,Instagram;Tiktok/ Douyin,4,4,3,4,4,4,4,4,3,3,3,3,3
2023/10/24 8:42:43 AM GMT+8,22,Female,CHS,2,Instagram;Tiktok/ Douyin,3,3,4,4,4,3,3,3,3,2,2,3,4
2023/10/25 3:58:12 PM GMT+8,19,Female,CHS,0,Instagram;YouTube,1,2,4,1,1,1,1,5,4,1,3,3,3
2023/10/25 3:59:44 PM GMT+8,22,Female,CHS,2,Instagram;Tiktok/ Douyin;YouTube,4,4,3,5,5,6,6,5,4,3,4,2,2
2023/10/25 5:29:52 PM GMT+8,20,Female,Business,0.5,Instagram;YouTube,1,4,2,2,2,2,2,4,3,2,2,2,2
2023/10/25 11:56:25 PM GMT+8,20,Female,Business,2,Instagram;Tiktok/ Douyin;YouTube,2,2,4,3,3,3,3,4,4,2,2,3,3
2023/10/26 9:37:43 AM GMT+8,20,Female,CHS,0.5,Instagram;Tiktok/ Douyin;YouTube,1,3,1,5,5,5,4,4,2,4,4,2,3
2023/10/27 6:14:00 PM GMT+8,20,Female,Business,1,Instagram;Tumblr;YouTube,3,3,3,3,2,2,3,3,3,4,4,3,3
2023/10/27 6:14:40 PM GMT+8,21,Female,Business ,1.5,Tiktok/ Douyin,2,2,3,4,4,6,5,4,4,4,4,4,3
2023/10/27 6:15:21 PM GMT+8,19,Female,Business,2,Instagram;Tiktok/ Douyin;Tumblr;YouTube,3,3,4,3,6,5,6,3,4,3,4,3,3
2023/10/27 6:16:01 PM GMT+8,20,Female,CDE,3,Instagram;Tiktok/ Douyin;Tumblr;YouTube,2,2,4,2,5,4,7,3,3,3,1,5,3
2023/10/27 6:16:47 PM GMT+8,22,Female,CHS,1,Instagram;Tiktok/ Douyin;Tumblr;YouTube,1,1,5,3,2,4,6,4,4,3,3,3,4
2023/10/27 10:49:21 PM GMT+8,24,Male,CDE,0,bilibili,1,2,3,2,2,2,2,2,2,2,2,2,2
2023/10/27 10:50:09 PM GMT+8,23,Male,CHS,0,Instagram;YouTube,2,3,3,3,3,4,3,2,3,3,3,3,3
2023/10/27 10:53:43 PM GMT+8,24,Non-binary / third gender,CDE,0,Instagram;YouTube,3,3,3,6,7,5,6,4,5,5,4,4,4
2023/10/27 10:54:31 PM GMT+8,24,Male,CDE,0,Instagram;YouTube,1,2,2,1,1,1,1,3,3,3,3,3,3
2023/10/27 10:56:25 PM GMT+8,20,Female,CHS,0,Instagram;YouTube,1,3,4,4,4,4,4,4,4,3,3,3,3
2023/10/27 10:56:45 PM GMT+8,22,Female,Business,2,Instagram;Tiktok/ Douyin; Xiao Hong Shu,2,3,4,2,3,3,3,2,4,2,2,3,3
2023/10/27 11:00:39 PM GMT+8,22,Female,SOC,0,Instagram;YouTube,4,5,1,6,6,6,6,3,2,4,4,2,3
2023/10/27 11:00:49 PM GMT+8,21,Female,CHS,6,Instagram;Tiktok/ Douyin;YouTube,4,4,2,6,6,6,6,4,2,4,4,2,2
2023/10/27 11:02:32 PM GMT+8,19,Female,CDE,0,Instagram,1,4,3,3,3,6,1,3,2,4,3,2,2
2023/10/27 11:06:44 PM GMT+8,20,Male,SOC,1,Tiktok/ Douyin,2,2,2,4,4,4,4,3,3,1,4,2,4
2023/10/27 11:20:15 PM GMT+8,20,Female,CHS,0.1,Tiktok/ Douyin,2,2,3,4,2,3,2,2,3,3,3,2,2
2023/10/27 11:21:19 PM GMT+8,20,Female,CDE,2.5,bilibili;weibo,4,4,3,6,6,5,2,4,4,3,2,3,3
2023/10/27 11:27:58 PM GMT+8,23,Female,CDE,1,Instagram;Tiktok/ Douyin;YouTube,4,2,4,1,1,1,1,4,2,1,2,3,4
2023/10/27 11:30:26 PM GMT+8,20,Female,CDE,0,Instagram;YouTube;bilibili,3,4,3,2,4,3,2,2,3,2,2,2,3
2023/10/27 11:37:49 PM GMT+8,23,Female,Medicine,0.5,Instagram;Tiktok/ Douyin,2,2,4,2,2,3,2,3,4,3,2,3,3
2023/10/27 11:38:04 PM GMT+8,22,Female,CHS,1.5,Instagram;Tiktok/ Douyin;YouTube,5,3,5,4,2,4,4,4,3,3,1,3,2
2023/10/27 11:39:00 PM GMT+8,21,Female,CDE,3,Instagram;Tiktok/ Douyin,2,2,4,3,2,2,3,2,3,1,2,3,3
2023/10/27 11:39:57 PM GMT+8,19,Female,Business,2.5,Instagram;Tiktok/ Douyin;Tumblr;YouTube,2,2,4,2,2,3,2,3,2,2,3,4,4
2023/10/27 11:44:43 PM GMT+8,22,Female,CDE,2,Tiktok/ Douyin;YouTube,4,4,3,4,5,2,5,2,2,3,4,2,2
2023/10/27 11:48:31 PM GMT+8,21,Female,SOC,0,YouTube;Bilibili; xiaohongshu,2,4,2,5,3,7,5,5,5,4,4,2,2
2023/10/27 11:49:41 PM GMT+8,22,Female,SOC,0,Instagram;YouTube,1,3,4,1,1,1,1,4,5,1,3,3,3
2023/10/27 11:56:56 PM GMT+8,19,Female,CHS,3,Tiktok/ Douyin;YouTube,2,4,2,2,3,5,3,4,3,3,3,5,3
2023/10/27 11:57:38 PM GMT+8,20,Female,CHS,2,Instagram;Tiktok/ Douyin;YouTube,4,1,4,5,3,2,2,4,3,3,2,3,4
2023/10/28 12:03:25 AM GMT+8,20,Female,CDE,0,Instagram,1,1,1,5,5,4,5,3,4,4,4,3,3
2023/10/28 12:09:34 AM GMT+8,20,Female,CHS,2,Instagram;Tiktok/ Douyin;YouTube,2,2,4,3,3,4,4,4,2,5,4,4,4
2023/10/28 12:10:18 AM GMT+8,18,Female,CHS,1,Tiktok/ Douyin;YouTube,2,1,4,2,2,2,2,2,3,2,2,4,4
2023/10/28 12:11:26 AM GMT+8,25,Female,CHS,3,Tiktok/ Douyin,2,4,1,3,6,6,6,4,5,5,4,2,1
2023/10/28 12:16:17 AM GMT+8,22,Female,CHS,0.5,Instagram;Tiktok/ Douyin,3,3,4,4,4,5,2,3,3,2,2,4,3
2023/10/28 12:20:31 AM GMT+8,22,Female,CHS,0.5,Instagram;Tiktok/ Douyin;Tumblr;YouTube,4,4,4,5,5,4,4,4,3,4,2,3,3
2023/10/28 12:22:19 AM GMT+8,20,Female,CHS,0,Weibo; Twitter,1,1,3,1,1,1,1,2,4,3,3,3,3
2023/10/28 12:53:01 AM GMT+8,18,Female,CDE,0,Instagram;YouTube;Xiao Hong Shu,4,4,2,2,1,1,1,3,3,4,1,2,3
2023/10/28 12:55:42 AM GMT+8,21,Female,Business ,2,Instagram;Tiktok/ Douyin,4,4,3,3,3,2,2,2,3,2,3,4,3
2023/10/28 1:58:23 AM GMT+8,21,Female,CHS,0,Instagram;Tumblr;YouTube;Twitter,4,2,4,2,3,2,1,5,5,2,2,3,3
2023/10/28 3:22:32 AM GMT+8,20,Female,CDE,1,Instagram;Tiktok/ Douyin;YouTube;Xiaohongshu,3,2,4,6,5,5,5,5,2,5,3,3,3
2023/10/28 9:35:09 AM GMT+8,21,Female,Business,3,Instagram;Tiktok/ Douyin;Tumblr;YouTube,4,4,4,4,5,5,6,4,4,4,4,4,4
2023/10/28 9:36:03 AM GMT+8,22,Female,CDE,3,Instagram;Tiktok/ Douyin;Tumblr;YouTube,4,4,4,5,5,5,5,4,4,4,4,4,4
2023/10/28 9:37:09 AM GMT+8,20,Female,Business,3,Instagram;Tiktok/ Douyin;YouTube,4,4,4,5,5,5,5,4,4,4,4,4,4
2023/10/28 9:38:10 AM GMT+8,19,Female,SOC,2,Instagram;Tiktok/ Douyin;YouTube,4,4,4,5,5,5,5,4,3,4,4,4,4
2023/10/28 10:29:50 AM GMT+8,21,Female,CHS,1,Instagram;Tiktok/ Douyin,2,3,3,3,3,5,3,3,3,4,3,3,3
2023/10/28 10:39:11 AM GMT+8,21,Female,CHS,1,Instagram;Tiktok/ Douyin,2,3,3,4,3,4,4,4,4,2,2,3,3
2023/10/28 10:41:05 AM GMT+8,20,Female,CHS,3,Instagram;Tiktok/ Douyin;Tumblr;YouTube,4,4,4,5,5,5,5,4,4,4,4,4,4
2023/10/28 10:41:45 AM GMT+8,20,Female,Business,2,Tiktok/ Douyin,2,2,1,4,4,5,3,3,2,2,5,4,2
2023/10/28 10:41:58 AM GMT+8,19,Female,CHS,2,Tiktok/ Douyin,2,2,4,5,5,6,6,5,4,5,2,2,3
2023/10/28 10:42:07 AM GMT+8,19,Female,Business,2,Instagram;Tiktok/ Douyin;YouTube,4,4,4,5,5,6,6,5,5,5,5,4,4
2023/10/28 10:42:17 AM GMT+8,21,Female,Business,1,Tiktok/ Douyin;YouTube,5,2,2,1,1,1,1,2,1,3,5,5,5
2023/10/28 10:42:42 AM GMT+8,21,Female,CHS,1,Tiktok/ Douyin,2,2,4,2,2,2,2,4,4,2,2,3,3
2023/10/28 10:42:48 AM GMT+8,19,Female,CHS,2,Instagram;Tiktok/ Douyin;YouTube,4,4,5,6,6,5,6,4,4,4,4,4,4
2023/10/28 10:42:55 AM GMT+8,21,Female,Business,2,Tiktok/ Douyin;YouTube,3,4,3,5,4,3,3,3,3,3,4,5,3
2023/10/28 10:43:04 AM GMT+8,22,Female,Business,1,Instagram;Tiktok/ Douyin;Tumblr,3,3,4,4,4,5,5,4,3,4,3,3,3
2023/10/28 10:43:52 AM GMT+8,18,Female,CHS,2,Instagram;Tiktok/ Douyin;Tumblr;YouTube,2,4,4,5,5,5,5,4,3,4,4,4,4
2023/10/28 10:44:00 AM GMT+8,21,Female,Business,1,Tiktok/ Douyin;YouTube,2,4,1,6,6,6,6,2,4,4,4,2,2
2023/10/28 10:44:02 AM GMT+8,25,Female,SOC,2,Instagram;Tiktok/ Douyin;YouTube,4,3,2,3,3,5,4,2,4,4,3,3,2
2023/10/28 10:46:40 AM GMT+8,20,Female,CHS,0,Instagram;YouTube;bilibili,1,2,4,1,1,1,1,5,5,1,3,3,3
2023/10/28 7:26:09 PM GMT+8,20,Male,CHS,0,YouTube,1,2,4,1,1,1,1,4,4,1,1,1,1